SKU,Наличност,Бройки,Цена
930608,Наличен,2,24.20
930609,Наличен,5,36.20
930122,Наличен,1,36.20
931458,Наличен,24,36.20
930844,Наличен,9,36.20
932732,Наличен,8,36.20
930475,Наличен,9,36.20
930123,Наличен,8,36.20
930845,Наличен,12,36.20
961821,Наличен,15,29.20
961739,Наличен,12,29.20
939369,Наличен,10,26.60
923763,Наличен,8,26.60
930893,Изчерпан,0,26.60
939370,Изчерпан,0,26.60
955262,Изчерпан,0,27.20
927783,Наличен,6,27.20
927785,Наличен,11,27.20
927786,Изчерпан,0,27.20
934455,Наличен,1,27.20
927787,Наличен,11,27.20
927788,Наличен,3,27.20
953417,Наличен,1,31.50
928545,Наличен,21,31.50
926255,Наличен,5,31.50
926256,Наличен,4,31.50
927789,Наличен,12,31.50
926258,Наличен,8,31.50
926868,Наличен,10,31.50
926259,Наличен,11,31.50
926869,Наличен,6,31.50
941875,Наличен,3,31.50
941876,Наличен,34,31.50
941920,Наличен,10,31.50
953418,Наличен,8,33.90
945169,Наличен,4,33.90
945170,Наличен,7,33.90
933327,Наличен,8,33.90
933328,Наличен,8,33.90
933824,Наличен,8,33.90
933329,Наличен,5,33.90
933087,Наличен,12,33.90
941877,Наличен,9,33.90
941922,Наличен,5,33.90
939387,Наличен,5,36.50
953419,Наличен,1,36.50
945174,Наличен,3,36.50
945175,Наличен,4,36.50
933825,Наличен,12,36.50
933330,Наличен,16,36.50
933331,Наличен,8,36.50
933332,Наличен,7,36.50
933538,Наличен,15,36.50
941878,Наличен,8,36.50
941879,Наличен,7,36.50
934467,Изчерпан,0,36.50
941923,Наличен,7,36.50
960607,Наличен,13,27.20
959912,Наличен,6,31.50
959913,Наличен,9,36.50
960451,Наличен,14,33.90
923960,Наличен,7,20.50
954634,Наличен,4,20.50
954635,Наличен,3,20.50
923967,Наличен,9,20.50
923969,Наличен,12,20.50
945741,Наличен,11,21.80
923971,Наличен,9,21.80
923972,Наличен,4,21.80
923973,Наличен,10,21.80
954636,Наличен,14,21.80
954637,Наличен,11,21.80
923974,Наличен,3,21.80
954638,Наличен,12,21.80
954639,Наличен,4,21.80
923976,Наличен,1,23.50
923977,Наличен,5,23.50
923978,Изчерпан,0,23.50
954640,Наличен,9,24.50
954641,Наличен,9,24.50
923980,Наличен,14,24.50
954642,Изчерпан,0,24.50
954643,Наличен,12,24.50
932436,Наличен,8,23.80
932437,Наличен,11,23.80
932438,Наличен,5,23.80
939406,Наличен,12,23.80
932440,Наличен,3,23.80
932441,Наличен,6,23.80
932442,Изчерпан,0,23.80
932443,Наличен,15,23.80
932444,Наличен,1,23.80
941893,Изчерпан,0,23.80
936827,Наличен,4,23.80
932446,Наличен,5,23.80
939407,Наличен,14,23.80
932423,Наличен,1,20.00
932409,Наличен,23,20.20
952525,Наличен,22,20.20
932410,Наличен,20,20.20
947195,Наличен,16,20.20
932411,Наличен,7,20.20
947196,Наличен,9,20.20
939392,Наличен,17,20.20
934909,Наличен,10,20.20
932412,Наличен,10,20.20
939393,Наличен,3,20.20
939394,Наличен,7,20.20
948377,Наличен,10,20.20
941880,Наличен,11,20.20
932413,Наличен,7,20.20
934407,Наличен,2,25.80
934932,Наличен,16,28.70
934936,Наличен,33,28.70
934487,Наличен,11,28.70
934939,Изчерпан,0,28.70
934488,Наличен,22,28.70
934951,Наличен,14,24.90
934952,Наличен,10,27.00
934539,Наличен,1,27.00
935718,Наличен,9,25.90
935720,Наличен,6,25.90
935721,Наличен,5,25.90
935722,Наличен,2,25.90
935723,Наличен,9,25.90
935724,Наличен,10,25.90
935725,Наличен,7,25.90
939416,Наличен,10,25.90
935727,Наличен,2,25.90
935728,Наличен,12,25.90
935729,Наличен,7,25.90
935730,Наличен,23,25.90
935731,Наличен,11,25.90
935732,Наличен,7,25.90
935733,Наличен,11,25.90
935734,Наличен,11,25.90
935735,Наличен,1,25.90
938726,Наличен,7,25.90
935736,Наличен,5,25.90
935737,Наличен,3,25.90
938727,Наличен,6,25.90
939418,Наличен,15,25.90
938728,Наличен,21,25.90
935738,Наличен,1,25.90
938729,Наличен,10,25.90
935739,Наличен,5,25.90
935740,Наличен,10,25.90
935741,Наличен,1,25.90
945162,Наличен,5,32.50
945163,Наличен,4,32.50
935706,Наличен,30,30.20
935707,Наличен,12,32.50
935708,Наличен,8,32.50
935709,Наличен,6,32.50
935711,Наличен,2,32.50
935713,Наличен,45,30.20
935714,Наличен,10,32.50
935716,Наличен,21,32.50
935717,Наличен,18,30.20
936811,Наличен,3,23.10
936812,Наличен,3,23.10
936867,Наличен,2,30.90
936869,Наличен,4,30.90
936871,Наличен,10,33.50
936876,Наличен,4,33.50
948649,Наличен,9,35.00
936897,Наличен,12,16.80
936898,Изчерпан,0,16.80
936900,Наличен,39,16.80
936902,Изчерпан,0,16.80
936904,Наличен,19,16.80
939447,Наличен,27,16.80
954613,Наличен,14,24.60
938730,Наличен,2,24.60
954614,Наличен,13,24.60
938731,Наличен,3,23.10
941896,Наличен,14,24.60
939419,Наличен,8,24.60
938734,Наличен,15,24.60
941925,Наличен,8,24.60
938737,Наличен,7,24.60
938738,Наличен,13,24.60
938739,Наличен,4,24.60
938740,Наличен,13,24.60
938741,Наличен,12,24.60
939420,Наличен,11,24.60
938743,Наличен,10,24.60
938744,Наличен,7,24.60
938745,Наличен,17,24.60
938747,Наличен,3,24.60
938748,Наличен,5,24.60
939435,Наличен,5,24.80
939436,Наличен,1,24.80
939438,Наличен,5,24.80
939439,Наличен,11,26.60
939440,Наличен,8,26.60
939441,Наличен,3,26.60
939442,Наличен,6,26.60
945717,Наличен,6,18.50
945718,Наличен,4,18.50
945719,Наличен,5,18.90
945720,Наличен,9,18.50
945722,Наличен,1,18.50
939410,Наличен,3,20.50
939413,Наличен,3,20.50
939415,Наличен,10,20.50
947197,Наличен,13,22.90
947199,Наличен,12,22.90
947200,Наличен,7,22.90
947201,Наличен,8,22.90
947202,Наличен,4,22.90
939443,Наличен,6,24.80
939444,Наличен,6,24.80
939446,Наличен,8,24.80
939421,Наличен,6,22.50
939422,Изчерпан,0,22.50
941886,Наличен,2,25.20
941887,Изчерпан,0,25.20
941888,Изчерпан,0,25.20
941924,Наличен,5,25.20
941889,Наличен,4,25.20
941890,Наличен,10,25.20
941882,Наличен,16,23.60
941883,Наличен,4,23.60
941884,Наличен,6,23.60
941885,Наличен,13,23.60
945702,Наличен,4,28.80
945703,Наличен,10,28.80
945704,Наличен,14,28.80
945705,Наличен,14,28.80
945706,Наличен,11,28.80
949559,Наличен,5,55.00
949560,Наличен,4,55.00
949561,Изчерпан,0,55.00
949562,Наличен,2,55.00
942672,Изчерпан,0,55.00
945742,Изчерпан,0,55.00
946464,Изчерпан,0,55.00
947206,Изчерпан,0,55.00
947207,Наличен,3,55.00
944024,Наличен,3,55.00
942673,Изчерпан,0,55.00
950424,Изчерпан,0,27.50
950425,Наличен,3,27.50
950426,Изчерпан,0,27.50
950565,Наличен,3,27.50
945709,Наличен,4,30.80
943829,Наличен,4,30.80
945708,Наличен,6,30.80
943834,Наличен,4,30.80
943835,Наличен,4,30.80
945725,Наличен,9,24.30
945727,Наличен,7,24.30
945728,Наличен,6,24.30
945729,Наличен,9,24.30
945730,Наличен,10,24.30
946462,Наличен,9,24.30
946463,Наличен,5,24.30
945731,Наличен,12,24.30
952276,Наличен,5,32.60
953017,Наличен,5,32.60
952277,Наличен,7,32.60
952278,Наличен,12,32.60
952279,Наличен,4,32.60
952280,Наличен,13,32.60
952281,Наличен,9,32.60
952282,Наличен,5,32.60
952831,Наличен,12,32.60
945938,Наличен,17,32.60
946638,Наличен,17,32.60
945939,Наличен,30,32.60
945940,Наличен,19,32.60
946639,Наличен,8,32.60
945941,Наличен,29,32.60
945942,Наличен,21,32.60
947203,Наличен,11,33.50
947204,Наличен,6,33.50
947205,Наличен,11,33.50
947208,Изчерпан,0,39.20
947209,Наличен,11,39.20
947540,Наличен,5,39.20
945699,Наличен,6,16.50
945700,Наличен,1,16.50
945701,Наличен,1,16.50
947210,Наличен,31,42.00
947211,Наличен,3,42.00
947212,Изчерпан,0,42.00
947213,Наличен,5,42.00
945747,Наличен,10,48.80
945748,Наличен,7,48.80
945749,Наличен,3,48.80
945750,Наличен,6,48.80
947319,Наличен,5,34.90
947320,Наличен,8,34.90
956991,Наличен,5,34.90
947262,Наличен,4,34.90
947263,Наличен,8,34.90
956991,Наличен,5,34.90
947321,Наличен,11,34.90
947931,Изчерпан,0,24.50
947932,Изчерпан,0,24.50
948373,Наличен,17,24.50
948034,Изчерпан,0,24.50
948127,Наличен,10,23.20
948374,Наличен,14,23.20
948375,Наличен,4,23.20
948376,Изчерпан,0,23.20
959907,Наличен,11,23.20
960439,Наличен,7,23.20
959906,Наличен,12,23.20
956051,Наличен,4,23.80
960440,Наличен,8,23.80
959908,Наличен,6,23.80
959909,Наличен,7,23.80
956052,Наличен,14,23.80
961735,Наличен,13,23.80
949999,Наличен,11,23.80
961736,Наличен,12,23.80
961737,Наличен,15,23.80
948997,Наличен,4,25.00
948998,Наличен,13,25.00
949000,Изчерпан,0,25.00
938705,Наличен,12,25.00
961738,Наличен,17,25.00
938709,Наличен,19,25.00
936776,Наличен,13,28.80
949800,Изчерпан,0,28.80
933397,Наличен,8,28.80
949006,Наличен,3,28.80
950058,Наличен,2,68.00
950059,Наличен,1,68.00
950060,Наличен,8,68.00
950063,Наличен,14,15.90
950064,Наличен,11,15.90
950065,Наличен,12,15.90
950066,Наличен,15,15.90
950067,Наличен,8,15.90
961757,Наличен,18,19.50
961758,Наличен,20,19.50
961759,Наличен,18,19.50
961760,Наличен,16,19.50
962420,Наличен,21,19.50
961761,Наличен,19,19.50
961762,Наличен,20,19.50
950068,Наличен,3,22.60
950069,Изчерпан,0,22.60
950070,Наличен,7,22.60
950071,Наличен,12,22.60
950072,Наличен,13,22.60
953772,Наличен,6,23.50
953774,Наличен,3,23.50
953773,Наличен,11,23.50
953775,Наличен,4,23.50
953776,Наличен,10,23.50
953779,Наличен,3,23.50
953777,Наличен,9,23.50
953778,Изчерпан,0,23.50
950259,Наличен,1,24.50
950073,Изчерпан,0,24.50
950261,Наличен,7,24.50
950075,Наличен,7,24.50
950076,Наличен,6,24.50
950077,Наличен,3,24.50
955459,Наличен,34,26.90
955460,Наличен,5,26.90
955461,Наличен,13,26.90
955462,Наличен,9,26.90
955463,Наличен,8,26.90
955465,Наличен,2,26.90
955464,Наличен,13,26.90
954623,Наличен,14,28.80
951903,Наличен,13,28.80
952275,Наличен,36,28.80
952100,Наличен,9,28.80
954624,Наличен,7,28.80
952101,Изчерпан,0,28.80
952092,Наличен,159,28.80
952523,Наличен,10,28.80
952102,Наличен,18,28.80
957954,Наличен,13,28.80
957955,Наличен,14,28.80
957956,Наличен,2,28.80
957957,Наличен,17,28.80
957958,Наличен,21,28.80
954625,Наличен,12,31.50
952103,Наличен,10,31.50
954626,Наличен,11,31.50
958192,Изчерпан,0,31.50
950154,Наличен,8,31.50
951904,Изчерпан,0,31.50
